id,title,domain,severity,effort,files,evidence,recommendation,cve
ARCH-01,python-slsa template calls a reusable that has no workflow_call trigger,architecture,Critical,S,workflow-templates/python-slsa.yml;.github/workflows/python-slsa.yml,workflow-templates/python-slsa.yml:73 calls python-slsa.yml@v1; .github/workflows/python-slsa.yml:66-67 declares only on: workflow_dispatch,"Add a workflow_call trigger with inputs to the reusable, or convert the template to inline steps.",
DEP-02,Git submodules unpinned in .gitmodules and uninitialized,dependencies,High,S,.gitmodules;tests/libs/bats-core;tests/libs/bats-support;tests/libs/bats-assert,.gitmodules:1-9 declares three bats repos over HTTPS with no branch/ref; git submodule status shows '-' (uninitialized); gitlink SHAs live only in the index,Document the required git submodule update --init step; add branch discipline or a checksum gate on the bats libraries.,
DOC-02,Malformed uses: path in python-fips-compatibility doc,docs,High,S,docs/workflows/python-fips-compatibility.md,"docs/workflows/python-fips-compatibility.md:42,53,99 use ByronWilliamsCPA/.github/workflows/... missing the repo .github/ segment, so the ref does not resolve",Fix the path to ByronWilliamsCPA/.github/.github/workflows/python-fips-compatibility.yml.,
ARCH-02,Five templates re-implement steps instead of calling the reusables,architecture,High,M,workflow-templates/python-ci.yml;workflow-templates/python-security-analysis.yml;workflow-templates/python-docs.yml;workflow-templates/python-publish-pypi.yml;workflow-templates/python-release.yml,"grep -c runs-on shows inline jobs (ci=5, security-analysis=8, docs=5) duplicating logic already in .github/workflows/python-*.yml, while python-scorecard.yml:32 is a clean thin caller",Convert the inline templates to the thin-caller pattern; reserve inline only where the gallery intentionally shows runnable steps and document that choice.,
ARCH-03,Template python-ci drifts from the reusable on Python versions and jobs,architecture,High,M,workflow-templates/python-ci.yml;.github/workflows/python-ci.yml,"Template:138 hardcodes 3.10-3.14; reusable:46,51 uses tiered 3.11-3.12 PR / 3.10-3.13 comprehensive and adds Vulture/LLM/security jobs the template omits","Repoint the template at the reusable, or pin both to one documented version matrix.",
CICD-01,Pre-commit lint hooks are enforced in no repo-local CI,cicd,High,M,.pre-commit-config.yaml;.github/workflows/self-test.yml;.github/workflows/pr-validation.yml;scripts/check-no-em-dash.sh,pre-commit defines yamllint/markdownlint/detect-secrets/trufflehog/commitizen/no-em-dash (lines 10-92); no repo-local workflow runs any; python-precommit.yml is workflow_call-only and skips when no pyproject.toml,"Add a pre-commit run --all-files job to self-test.yml, or at minimum run yamllint, markdownlint, and check-no-em-dash.sh on push/PR.",
CQ-02,Untested destructive operator scripts swallow per-repo errors,code-quality,High,M,scripts/transfer-repos.sh;scripts/sync-secrets.sh,transfer-repos.sh:112 fires irreversible gh repo transfer in a loop with &>/dev/null and no dry-run; sync-secrets.sh:103-105 writes secrets with 2>/dev/null; both untested,Add a --dry-run flag and surface gh stderr instead of discarding it; add Bats coverage gating the confirm and skip paths.,
CQ-01,Six of eight shell scripts have zero test coverage,code-quality,High,L,scripts/calculate-image-storage.sh;scripts/check-no-em-dash.sh;scripts/regenerate-checksums.sh;scripts/sync-secrets.sh;scripts/transfer-repos.sh;sync_org_files.sh,tests/ has only update-pinned-actions.bats and fleet-audit-sha-pins.bats; shell-tests.yml runs tests/*.bats so new suites auto-include,"Add Bats suites, starting with transfer-repos.sh and sync_org_files.sh, stubbing gh/curl as the existing suites do.",
ARCH-06,Naming collision risk: repo-local CI vs reusable exports in one dir,architecture,Medium,S,.github/workflows/reuse.yml;.github/workflows/python-reuse.yml;.github/workflows/scorecard.yml;.github/workflows/python-scorecard.yml;.github/workflows/pr-validation.yml,Unprefixed files (reuse/scorecard/pr-validation) are repo self-CI with no workflow_call; python-* files are exported reusables (workflow_call=1); distinguished only by prefix and a (Reusable) suffix,"Document the prefix convention (python- = exported reusable, unprefixed = repo self-CI) in CLAUDE.md/AGENTS.md, or rename the repo-local CI set.",
ARCH-07,Duplicate ADR-001 across two dirs; major decisions undocumented,architecture,Medium,S,docs/architecture/adr-001-scorecard-publish-results.md;docs/planning/adr/adr-001-workflow-security-remediation-delivery.md;docs/architecture/adr-000-index.md,Two different ADR-001 docs; adr-000-index.md:7 lists only one; no ADR documents the template/reusable split or the SHA-pinning strategy; index status (Proposed) disagrees with the ADR file (Accepted),"Pick one ADR directory, renumber to remove the duplicate ADR-001, and backfill ADRs for the split and the pinning strategy.",
CICD-02,Two yamllint configs disagree; .yamllint.yml is dead,cicd,Medium,S,.yamllint;.yamllint.yml,.yamllint sets max 160 + braces/brackets/yes-no truthy; .yamllint.yml sets max 150 warning-level; yamllint search order makes .yamllint win and .yamllint.yml dead,Delete .yamllint.yml and consolidate into a single .yamllint; fold in max 150 if that was intended.,
CICD-03,Two shellcheck configs not aligned; qlty and CI gate at different severities,cicd,Medium,S,.shellcheckrc;.qlty/configs/.shellcheckrc;.qlty/qlty.toml;.github/workflows/self-test.yml,Root .shellcheckrc sets severity=warning; .qlty/configs/.shellcheckrc sets only source-path so qlty runs default severity; self-test.yml:55 hardcodes SHELLCHECK_OPTS=--severity=warning (three places),Set the qlty shellcheck config to severity=warning so qlty and CI gate identically.,
CQ-05,Failure-swallowing || true in the legacy update path,code-quality,Medium,S,scripts/update-pinned-actions.sh,"update-pinned-actions.sh:365,395,403 mask grep/gh failures; the script's own note at line 169 calls this out, yet the legacy main flow still uses it while extract_tag_pins captures rc correctly",Apply the rc-aware capture pattern from extract_tag_pins to the legacy main flow so rate-limit/unreadable failures are not reported as up to date.,
CQ-06,Duplicated 10-entry FILES array across two scripts,code-quality,Medium,S,scripts/regenerate-checksums.sh;sync_org_files.sh,"Identical arrays at regenerate-checksums.sh:17-28 and sync_org_files.sh:32-43; sync enforced only by a comment, so drift silently breaks checksum verification","Source the list from one shared file, or add a test asserting the two arrays are identical.",
DEP-03,Workflow-template Python matrix targets unreleased 3.14,dependencies,Medium,S,workflow-templates/python-ci.yml,workflow-templates/python-ci.yml:138 matrix [3.10..3.14]; 3.14 not stable as of Jan 2026 cutoff; callee declares max 3.13 at python-compatibility.yml:11,Drop 3.14 or set allow-prereleases / non-gating until 3.14 reaches stable.,
DOC-01,v1 is a stale moving tag and CHANGELOG denies any release exists,docs,Medium,S,CHANGELOG.md;README.md;USAGE_EXAMPLES.md;docs/workflows,"git ls-remote shows refs/tags/v1 (annotated) at 6f71aec, an ancestor of main e070932 and 32 commits behind it; CHANGELOG.md:7-9 says there are no numbered releases, contradicting the moving v1 tag that the docs and renovate.json rely on. The audit's original zero-git-tags reading was a local-clone artifact; @v1 does resolve for consumers.","Reconcile CHANGELOG to acknowledge the moving v1 tag that tracks main, and re-point v1 to current main on release so consumers pinning @v1 are not 32 commits behind.",
DOC-03,README links to a doc page that does not exist,docs,Medium,S,README.md;docs/workflows,README.md:82 links docs/workflows/python-qlty-coverage.md which is absent; the workflow .github/workflows/python-qlty-coverage.yml exists,Write the page or repoint the link to the workflow file.,
DOC-05,README workflow catalog omits four reusables,docs,Medium,S,README.md,"README.md:76-94 lists 19 of 23 reusables; missing python-pr-validation, python-precommit, python-slsa, python-standard-stack",Add the four missing entries to the README catalog.,
